game,game_index
The Elder Scrolls V Skyrim,0
Fallout 4,1
Spore,2
Fallout New Vegas,3
Left 4 Dead 2,4
HuniePop,5
Path of Exile,6
Poly Bridge,7
Left 4 Dead,8
Team Fortress 2,9
Tomb Raider,10
The Banner Saga,11
Dead Island Epidemic,12
BioShock Infinite,13
Dragon Age Origins - Ultimate Edition,14
Fallout 3 - Game of the Year Edition,15
SEGA Genesis & Mega Drive Classics,16
Grand Theft Auto IV,17
Realm of the Mad God,18
Marvel Heroes 2015,19
Eldevin,20
Dota 2,21
BioShock,22
Robocraft,23
Garry's Mod,24
Jazzpunk,25
Alan Wake,26
BioShock 2,27
Fallen Earth,28
Fallout New Vegas Courier's Stash,29
Fallout New Vegas Dead Money,30
Fallout New Vegas Honest Hearts,31
Grand Theft Auto Episodes from Liberty City,32
Hitman Absolution,33
HuniePop Official Digital Art Collection,34
HuniePop Original Soundtrack,35
The Banner Saga - Mod Content,36
The Elder Scrolls V Skyrim - Dawnguard,37
The Elder Scrolls V Skyrim - Dragonborn,38
The Elder Scrolls V Skyrim - Hearthfire,39
Ultra Street Fighter IV,40
FINAL FANTASY XIII,41
Sid Meier's Civilization V,42
L.A. Noire,43
Company of Heroes Tales of Valor,44
7 Days to Die,45
Divekick,46
FINAL FANTASY VII,47
Orcs Must Die! 2,48
Killing Floor,49
Company of Heroes,50
Bastion,51
Undertale,52
Counter-Strike Global Offensive,53
Orcs Must Die!,54
THE KING OF FIGHTERS XIII STEAM EDITION,55
GUILTY GEAR XX ACCENT CORE PLUS R,56
Skullgirls,57
Assassin's Creed II,58
Company of Heroes Opposing Fronts,59
Guilty Gear X2 #Reload,60
Psychonauts,61
Cities in Motion 2,62
Company of Heroes (New Steam Version),63
Company of Heroes 2,64
Killing Floor Mod Defence Alliance 2,65
Magicka,66
Magicka Vietnam,67
Natural Selection 2,68
Psychonauts Demo,69
Sanctum,70
Sanctum 2,71
Serious Sam 3 BFE,72
Skullgirls Endless Beta,73
Skyrim High Resolution Texture Pack,74
Grand Theft Auto V,75
Insurgency,76
METAL GEAR SOLID V THE PHANTOM PAIN,77
S.T.A.L.K.E.R. Shadow of Chernobyl,78
S.T.A.L.K.E.R. Call of Pripyat,79
Saints Row The Third,80
Far Cry 3,81
S.T.A.L.K.E.R. Clear Sky,82
Rocket League,83
Far Cry 4,84
Prototype,85
Space Pirates and Zombies,86
Dying Light,87
Just Cause 2,88
Mirror's Edge,89
Mad Max,90
Portal 2,91
Deus Ex Human Revolution,92
Middle-earth Shadow of Mordor,93
RUNNING WITH RIFLES,94
Deus Ex Human Revolution - Director's Cut,95
Batman Arkham City GOTY,96
Tropico 4,97
Cave Story+,98
Dust An Elysian Tail,99
F.E.A.R.,100
South Park The Stick of Truth,101
Sleeping Dogs,102
Watch_Dogs,103
Saints Row IV,104
DayZ,105
Half-Life 2,106
Reassembly,107
Sid Meier's Civilization III Complete,108
The Talos Principle,109
DiRT 3,110
FTL Faster Than Light,111
Age of Empires II HD Edition,112
Batman Arkham Asylum GOTY Edition,113
Gunpoint,114
Rebuild 3 Gangs of Deadsville,115
Recettear An Item Shop's Tale,116
Metro 2033,117
Monaco,118
Overgrowth,119
Assassin's Creed III,120
Ori and the Blind Forest,121
Far Cry 3 Blood Dragon,122
Burnout Paradise The Ultimate Box,123
